107573,51,תל אביב ,267,כפר שמריהו ,101 ,החורש ,official ,101
110431,51,תל אביב ,5000,תל אביב - יפו ,10675,שמואל רציף ,synonym of 1143 ,1143
110432,51,תל אביב ,5000,תל אביב - יפו ,1144 ,נס ציונה ,official ,1144
110433,51,תל אביב ,5000,תל אביב - יפו ,10676,מעון הירקון ,synonym of 1144 ,1144
110434,51,תל אביב ,5000,תל אביב - יפו ,10677,מלון הירקון ,synonym of 1144 ,1144
110435,51,תל אביב ,5000,תל אביב - יפו ,10678,הירקון מעון ,synonym of 1144 ,1144
110436,51,תל אביב ,5000,תל אביב - יפו ,10679,הירקון מלון ,synonym of 1144 ,1144
110437,51,תל אביב ,5000,תל אביב - יפו ,1145 ,סמטת שרה עזריהו ,official ,1145
110438,51,תל אביב ,5000,תל אביב - יפו ,10680,נס ציונה סמ ,synonym of 1145 ,1145
110439,51,תל אביב ,5000,תל אביב - יפו ,10681,נס ציונה סמטה ,synonym of 1145 ,1145
110440,51,תל אביב ,5000,תל אביב - יפו ,10682,סמטת נס ציונה ,synonym of 1145 ,1145
110441,51,תל אביב ,5000,תל אביב - יפו ,10683,סמ נס ציונה ,synonym of 1145 ,1145
110442,51,תל אביב ,5000,תל אביב - יפו ,10684,סמטת שרה ,synonym of 1145 ,1145
110443,51,תל אביב ,5000,תל אביב - יפו ,10685,סמ שרה עזריהו ,synonym of 1145 ,1145
110444,51,תל אביב ,5000,תל אביב - יפו ,1146 ,הירדן ,official ,1146
110445,51,תל אביב ,5000,תל אביב - יפו ,1147 ,לאן ב ,official ,1147
110446,51,תל אביב ,5000,תל אביב - יפו ,10686,לאן ב מבוי ,synonym of 1147 ,1147
110447,51,תל אביב ,5000,תל אביב - יפו ,1148 ,סמ גן מאיר ,official ,1148
110448,51,תל אביב ,5000,תל אביב - יפו ,10687,גן מאיר ,synonym of 1148 ,1148
110449,51,תל אביב ,5000,תל אביב - יפו ,10688,גן מאיר סמטה ,synonym of 1148 ,1148
110450,51,תל אביב ,5000,תל אביב - יפו ,10689,גן מאיר סמ ,synonym of 1148 ,1148
110451,51,תל אביב ,5000,תל אביב - יפו ,1150 ,מורד הטיילת ,official ,1150
110452,51,תל אביב ,5000,תל אביב - יפו ,10690,הטיילת ,synonym of 1150 ,1150
110453,51,תל אביב ,5000,תל אביב - יפו ,1151 ,מלון ימית ,official ,1151
110454,51,תל אביב ,5000,תל אביב - יפו ,1160 ,אוניברסיטת תל -אביב ,official ,1160
110455,51,תל אביב ,5000,תל אביב - יפו ,10691,אוניברסיטה ,synonym of 1160 ,1160
110456,51,תל אביב ,5000,תל אביב - יפו ,10692,האוניברסיטה ,synonym of 1160 ,1160
110457,51,תל אביב ,5000,תל אביב - יפו ,1170 ,שדה תעופה שדה דב ,official ,1170
110458,51,תל אביב ,5000,תל אביב - יפו ,10693,שת שדה דב ,synonym of 1170 ,1170
110459,51,תל אביב ,5000,תל אביב - יפו ,10694,שדה דב ,synonym of 1170 ,1170
110460,51,תל אביב ,5000,תל אביב - יפו ,1201 ,יונה הנביא ,official ,1201
110461,51,תל אביב ,5000,תל אביב - יפו ,10695,מל מגדל אלנ ,synonym of 1201 ,1201
110462,51,תל אביב ,5000,תל אביב - יפו ,10696,מלון מונופול ,synonym of 1201 ,1201
110463,51,תל אביב ,5000,תל אביב - יפו ,10697,מלון ישראל ,synonym of 1201 ,1201
110464,51,תל אביב ,5000,תל אביב - יפו ,10698,מלון אירופה ,synonym of 1201 ,1201
110465,51,תל אביב ,5000,תל אביב - יפו ,10699,הנביא יונה ,synonym of 1201 ,1201
110466,51,תל אביב ,5000,תל אביב - יפו ,10700,יונה ,synonym of 1201 ,1201
110467,51,תל אביב ,5000,תל אביב - יפו ,1202 ,הכובשים ,official ,1202
110468,51,תל אביב ,5000,תל אביב - יפו ,1203 ,גאולה ,official ,1203
110469,51,תל אביב ,5000,תל אביב - יפו ,10701,מלון סבוי ,synonym of 1203 ,1203
110470,51,תל אביב ,5000,תל אביב - יפו ,10702,מל מגדל דוד ,synonym of 1203 ,1203
110471,51,תל אביב ,5000,תל אביב - יפו ,1204 ,הרב קוק ,official ,1204
110472,51,תל אביב ,5000,תל אביב - יפו ,10703,קוק הרב ,synonym of 1204 ,1204
110473,51,תל אביב ,5000,תל אביב - יפו ,10704,קוק רב ,synonym of 1204 ,1204
110474,51,תל אביב ,5000,תל אביב - יפו ,10705,קוק ,synonym of 1204 ,1204
110475,51,תל אביב ,5000,תל אביב - יפו ,1205 ,הארי ,official ,1205
110476,51,תל אביב ,5000,תל אביב - יפו ,10706,מעון שלווה ,synonym of 1205 ,1205
110477,51,תל אביב ,5000,תל אביב - יפו ,10707,מלון שלוה ,synonym of 1205 ,1205
110478,51,תל אביב ,5000,תל אביב - יפו ,10708,הארי ,synonym of 1205 ,1205
110479,51,תל אביב ,5000,תל אביב - יפו ,1207 ,אהרונסון ,official ,1207
110480,51,תל אביב ,5000,תל אביב - יפו ,1208 ,זרובבל ,official ,1208
110481,51,תל אביב ,5000,תל אביב - יפו ,1209 ,עזרא הסופר ,official ,1209
110482,51,תל אביב ,5000,תל אביב - יפו ,10709,עזרא סופר ,synonym of 1209 ,1209
110483,51,תל אביב ,5000,תל אביב - יפו ,10710,עזרא ,synonym of 1209 ,1209
110484,51,תל אביב ,5000,תל אביב - יפו ,1211 ,דניאל ,official ,1211
110485,51,תל אביב ,5000,תל אביב - יפו ,1212 ,נחמיה ,official ,1212
110486,51,תל אביב ,5000,תל אביב - יפו ,1213 ,תרמב ,official ,1213
110487,51,תל אביב ,5000,תל אביב - יפו ,10711,תרמב ,synonym of 1213 ,1213
110488,51,תל אביב ,5000,תל אביב - יפו ,1214 ,יום טוב ,official ,1214
110489,51,תל אביב ,5000,תל אביב - יפו ,10712,יומטוב ,synonym of 1214 ,1214
110490,51,תל אביב ,5000,תל אביב - יפו ,10713,יוםטוב ,synonym of 1214 ,1214
110491,51,תל אביב ,5000,תל אביב - יפו ,1215 ,קפאח יחיה ,official ,1215
110492,51,תל אביב ,5000,תל אביב - יפו ,10714,יחיה ,synonym of 1215 ,1215
110493,51,תל אביב ,5000,תל אביב - יפו ,10715,קפאח יחיא ,synonym of 1215 ,1215
110494,51,תל אביב ,5000,תל אביב - יפו ,10716,יחיא ,synonym of 1215 ,1215
110495,51,תל אביב ,5000,תל אביב - יפו ,10717,קפח יחיה ,synonym of 1215 ,1215
110496,51,תל אביב ,5000,תל אביב - יפו ,10718,יחיה קפאח ,synonym of 1215 ,1215
110497,51,תל אביב ,5000,תל אביב - יפו ,10719,קאפח ,synonym of 1215 ,1215
110498,51,תל אביב ,5000,תל אביב - יפו ,10720,יחיא קפח ,synonym of 1215 ,1215
110499,51,תל אביב ,5000,תל אביב - יפו ,10721,קפח יחיא ,synonym of 1215 ,1215
110500,51,תל אביב ,5000,תל אביב - יפו ,1216 ,סמ הכרמל ,official ,1216
110501,51,תל אביב ,5000,תל אביב - יפו ,10722,הכרמל סמ ,synonym of 1216 ,1216
110502,51,תל אביב ,5000,תל אביב - יפו ,10723,הכרמל סמטה ,synonym of 1216 ,1216
110503,51,תל אביב ,5000,תל אביב - יפו ,1217 ,נחליאל ,official ,1217
110504,51,תל אביב ,5000,תל אביב - יפו ,1218 ,כנפי נשרים ,official ,1218
110505,51,תל אביב ,5000,תל אביב - יפו ,1219 ,קהילת עדן ,official ,1219
110506,51,תל אביב ,5000,תל אביב - יפו ,10724,קהלת עדן ,synonym of 1219 ,1219
110507,51,תל אביב ,5000,תל אביב - יפו ,1222 ,ישכון ,official ,1222
110508,51,תל אביב ,5000,תל אביב - יפו ,10725,ישכן ,synonym of 1222 ,1222
110509,51,תל אביב ,5000,תל אביב - יפו ,10726,יכין ,synonym of 1222 ,1222
110510,51,תל אביב ,5000,תל אביב - יפו ,1223 ,מלן ,official ,1223
110511,51,תל אביב ,5000,תל אביב - יפו ,10727,פדוים ,synonym of 1223 ,1223
110512,51,תל אביב ,5000,תל אביב - יפו ,10728,פדויים ,synonym of 1223 ,1223
110513,51,תל אביב ,5000,תל אביב - יפו ,10729,מלן ,synonym of 1223 ,1223
110514,51,תל אביב ,5000,תל אביב - יפו ,10730,משה לוי נחום ,synonym of 1223 ,1223
110515,51,תל אביב ,5000,תל אביב - יפו ,1224 ,הכרמל ,official ,1224
110516,51,תל אביב ,5000,תל אביב - יפו ,1225 ,רבי מאיר ,official ,1225
110517,51,תל אביב ,5000,תל אביב - יפו ,10731,מאיר ,synonym of 1225 ,1225
110518,51,תל אביב ,5000,תל אביב - יפו ,10732,מאיר רבי ,synonym of 1225 ,1225
110519,51,תל אביב ,5000,תל אביב - יפו ,1226 ,אלישיב ,official ,1226
110520,51,תל אביב ,5000,תל אביב - יפו ,10733,אלישוב ,synonym of 1226 ,1226
110521,51,תל אביב ,5000,תל אביב - יפו ,1227 ,בית יוסף ,official ,1227
110522,51,תל אביב ,5000,תל אביב - יפו ,1228 ,אלשיך ,official ,1228
110523,51,תל אביב ,5000,תל אביב - יפו ,1229 ,רבן גמליאל ,official ,1229
110524,51,תל אביב ,5000,תל אביב - יפו ,10734,גמליאל ,synonym of 1229 ,1229
110525,51,תל אביב ,5000,תל אביב - יפו ,1230 ,רבי עקיבא ,official ,1230
110526,51,תל אביב ,5000,תל אביב - יפו ,10735,עקיבא ,synonym of 1230 ,1230
110527,51,תל אביב ,5000,תל אביב - יפו ,1231 ,גדרה ,official ,1231
110528,51,תל אביב ,5000,תל אביב - יפו ,1232 ,נג'ארה ישראל ,official ,1232
110529,51,תל אביב ,5000,תל אביב - יפו ,10736,נגארה המשך ,synonym of 1232 ,1232
110530,51,תל אביב ,5000,תל אביב - יפו ,10737,נגארה ישראל ,synonym of 1232 ,1232
110531,51,תל אביב ,5000,תל אביב - יפו ,10738,ישראל נגארה ,synonym of 1232 ,1232
110532,51,תל אביב ,5000,תל אביב - יפו ,10739,נג'ארה ,synonym of 1232 ,1232
110533,51,תל אביב ,5000,תל אביב - יפו ,10740,נגארה ,synonym of 1232 ,1232
110534,51,תל אביב ,5000,תל אביב - יפו ,1233 ,הלל הזקן ,official ,1233
110535,51,תל אביב ,5000,תל אביב - יפו ,10741,הלל ,synonym of 1233 ,1233
110536,51,תל אביב ,5000,תל אביב - יפו ,1234 ,השומר ,official ,1234
110537,51,תל אביב ,5000,תל אביב - יפו ,1235 ,נחלת בנימין ,official ,1235
110538,51,תל אביב ,5000,תל אביב - יפו ,10742,מלון נורדאו ,synonym of 1235 ,1235
110539,51,תל אביב ,5000,תל אביב - יפו ,1236 ,רמבם ,official ,1236
110540,51,תל אביב ,5000,תל אביב - יפו ,10743,רמבם ,synonym of 1236 ,1236
110541,51,תל אביב ,5000,תל אביב - יפו ,10744,הרמבם ,synonym of 1236 ,1236
110542,51,תל אביב ,5000,תל אביב - יפו ,1237 ,סמ שפר ,official ,1237
110543,51,תל אביב ,5000,תל אביב - יפו ,10745,שפר סמטה ,synonym of 1237 ,1237
110544,51,תל אביב ,5000,תל אביב - יפו ,10746,שפר סמ ,synonym of 1237 ,1237
110545,51,תל אביב ,5000,תל אביב - יפו ,10747,סמ שפר ,synonym of 1237 ,1237
110546,51,תל אביב ,5000,תל אביב - יפו ,10748,שפר ,synonym of 1237 ,1237
110547,51,תל אביב ,5000,תל אביב - יפו ,1238 ,התבור ,official ,1238
110548,51,תל אביב ,5000,תל אביב - יפו ,10749,תבור ,synonym of 1238 ,1238
110549,51,תל אביב ,5000,תל אביב - יפו ,1239 ,רבינוביץ שפר ,official ,1239
110550,51,תל אביב ,5000,תל אביב - יפו ,10750,רבינוביץ ,synonym of 1239 ,1239
110551,51,תל אביב ,5000,תל אביב - יפו ,10751,שפר רבינוביץ ,synonym of 1239 ,1239
110552,51,תל אביב ,5000,תל אביב - יפו ,10752,רבינוביץ שפר ,synonym of 1239 ,1239
110553,51,תל אביב ,5000,תל אביב - יפו ,10753,שפר רבינוביץ ,synonym of 1239 ,1239
110554,51,תל אביב ,5000,תל אביב - יפו ,1240 ,צדוק הכהן ,official ,1240
110555,51,תל אביב ,5000,תל אביב - יפו ,1241 ,קלישר ,official ,1241
110556,51,תל אביב ,5000,תל אביב - יפו ,1242 ,יעבץ ,official ,1242
110557,51,תל אביב ,5000,תל אביב - יפו ,10754,יעבץ ,synonym of 1242 ,1242
110558,51,תל אביב ,5000,תל אביב - יפו ,1243 ,סמ התבור ,official ,1243
110559,51,תל אביב ,5000,תל אביב - יפו ,10755,התבור סמ ,synonym of 1243 ,1243
110560,51,תל אביב ,5000,תל אביב - יפו ,10756,התבור סמטה ,synonym of 1243 ,1243
110561,51,תל אביב ,5000,תל אביב - יפו ,1244 ,מוהליבר ,official ,1244
110562,51,תל אביב ,5000,תל אביב - יפו ,10757,מוליבר ,synonym of 1244 ,1244
110563,51,תל אביב ,5000,תל אביב - יפו ,1245 ,גרוזנברג ,official ,1245
110564,51,תל אביב ,5000,תל אביב - יפו ,10758,גריזנברג ,synonym of 1245 ,1245
110565,51,תל אביב ,5000,תל אביב - יפו ,1246 ,ברנר ,official ,1246
110566,51,תל אביב ,5000,תל אביב - יפו ,1247 ,שטראוס ,official ,1247
110567,51,תל אביב ,5000,תל אביב - יפו ,1248 ,פיארברג ,official ,1248
110568,51,תל אביב ,5000,תל אביב - יפו ,10759,פיארבג ,synonym of 1248 ,1248
110569,51,תל אביב ,5000,תל אביב - יפו ,10760,פאירברג ,synonym of 1248 ,1248
110570,51,תל אביב ,5000,תל אביב - יפו ,10761,פארברג ,synonym of 1248 ,1248
110571,51,תל אביב ,5000,תל אביב - יפו ,1249 ,מלצ'ט ,official ,1249
110572,51,תל אביב ,5000,תל אביב - יפו ,10762,מלצט ,synonym of 1249 ,1249
110573,51,תל אביב ,5000,תל אביב - יפו ,10763,מלזט ,synonym of 1249 ,1249
110574,51,תל אביב ,5000,תל אביב - יפו ,10764,מלצט ,synonym of 1249 ,1249
110575,51,תל אביב ,5000,תל אביב - יפו ,1250 ,יבנה ,official ,1250
110576,51,תל אביב ,5000,תל אביב - יפו ,10765,יבנה מושב זקנים ,synonym of 1250 ,1250
110577,51,תל אביב ,5000,תל אביב - יפו ,10766,יבנה בית זקנים ,synonym of 1250 ,1250
110578,51,תל אביב ,5000,תל אביב - יפו ,1251 ,עין ורד ,official ,1251
110579,51,תל אביב ,5000,תל אביב - יפו ,1252 ,יוסף הנשיא ,official ,1252
110580,51,תל אביב ,5000,תל אביב - יפו ,10767,דון יוסף נשיא ,synonym of 1252 ,1252
110581,51,תל אביב ,5000,תל אביב - יפו ,1253 ,יוחנן הסנדלר ,official ,1253
110582,51,תל אביב ,5000,תל אביב - יפו ,10768,יוחנן ,synonym of 1253 ,1253
110583,51,תל אביב ,5000,תל אביב - יפו ,1254 ,אליוט ג'ורג' ,official ,1254
110584,51,תל אביב ,5000,תל אביב - יפו ,10769,גורג אליוט ,synonym of 1254 ,1254
110585,51,תל אביב ,5000,תל אביב - יפו ,10770,ג'ורג' אליוט ,synonym of 1254 ,1254
110586,51,תל אביב ,5000,תל אביב - יפו ,10771,אליוט ,synonym of 1254 ,1254
110587,51,תל אביב ,5000,תל אביב - יפו ,10772,אליוט גורג ,synonym of 1254 ,1254
110588,51,תל אביב ,5000,תל אביב - יפו ,1255 ,מונטיפיורי ,official ,1255
110589,51,תל אביב ,5000,תל אביב - יפו ,10773,מונטפיורי ,synonym of 1255 ,1255
110590,51,תל אביב ,5000,תל אביב - יפו ,1256 ,נטר קרל ,official ,1256
110591,51,תל אביב ,5000,תל אביב - יפו ,10774,קרל נטר ,synonym of 1256 ,1256
110592,51,תל אביב ,5000,תל אביב - יפו ,1257 ,יוחנן בן זכאי ,official ,1257
110593,51,תל אביב ,5000,תל אביב - יפו ,10775,בן זכאי ,synonym of 1257 ,1257
110594,51,תל אביב ,5000,תל אביב - יפו ,1258 ,בית השואבה ,official ,1258
110595,51,תל אביב ,5000,תל אביב - יפו ,10776,בית השואבה ס ,synonym of 1258 ,1258
110596,51,תל אביב ,5000,תל אביב - יפו ,1259 ,השחר ,official ,1259
110597,51,תל אביב ,5000,תל אביב - יפו ,1260 ,הר סיני ,official ,1260
110598,51,תל אביב ,5000,תל אביב - יפו ,10777,סיני ,synonym of 1260 ,1260
110599,51,תל אביב ,5000,תל אביב - יפו ,1261 ,אחוזת בית ,official ,1261
110600,51,תל אביב ,5000,תל אביב - יפו ,1262 ,אנגל ,official ,1262
110601,51,תל אביב ,5000,תל אביב - יפו ,1263 ,המגיד ,official ,1263
110602,51,תל אביב ,5000,תל אביב - יפו ,1264 ,בלפור ,official ,1264
110603,51,תל אביב ,5000,תל אביב - יפו ,10778,בלפור ביח ,synonym of 1264 ,1264
110604,51,תל אביב ,5000,תל אביב - יפו ,1265 ,מזאה ,official ,1265
110605,51,תל אביב ,5000,תל אביב - יפו ,10779,מזאה ,synonym of 1265 ,1265
110606,51,תל אביב ,5000,תל אביב - יפו ,10780,מאזה ,synonym of 1265 ,1265
110607,51,תל אביב ,5000,תל אביב - יפו ,1266 ,נחמני ,official ,1266
110608,51,תל אביב ,5000,תל אביב - יפו ,1267 ,יפה בצלאל ,official ,1267
110609,51,תל אביב ,5000,תל אביב - יפו ,10781,בצלאל יפה ,synonym of 1267 ,1267
110610,51,תל אביב ,5000,תל אביב - יפו ,10782,יפה ,synonym of 1267 ,1267
110611,51,תל אביב ,5000,תל אביב - יפו ,1268 ,סמ האור ,official ,1268
110612,51,תל אביב ,5000,תל אביב - יפו ,10783,האור סמ ,synonym of 1268 ,1268
110613,51,תל אביב ,5000,תל אביב - יפו ,10784,האור סמטה ,synonym of 1268 ,1268
110614,51,תל אביב ,5000,תל אביב - יפו ,1269 ,הרכבת ,official ,1269
110615,51,תל אביב ,5000,תל אביב - יפו ,1270 ,גת רימון ,official ,1270
110616,51,תל אביב ,5000,תל אביב - יפו ,10785,גת רמון ,synonym of 1270 ,1270
110617,51,תל אביב ,5000,תל אביב - יפו ,1271 ,דה פיג'וטו ,official ,1271
110618,51,תל אביב ,5000,תל אביב - יפו ,10786,דה פיגוטי ,synonym of 1271 ,1271
110619,51,תל אביב ,5000,תל אביב - יפו ,10787,פיג'וטו ,synonym of 1271 ,1271
110620,51,תל אביב ,5000,תל אביב - יפו ,10788,דה פיגוטו ,synonym of 1271 ,1271
110621,51,תל אביב ,5000,תל אביב - יפו ,1272 ,שדל ,official ,1272
110622,51,תל אביב ,5000,תל אביב - יפו ,10789,הטרקלין ,synonym of 1272 ,1272
110623,51,תל אביב ,5000,תל אביב - יפו ,10790,עמק הירדן ,synonym of 1272 ,1272
110624,51,תל אביב ,5000,תל אביב - יפו ,10791,שדל ,synonym of 1272 ,1272
110625,51,תל אביב ,5000,תל אביב - יפו ,1273 ,רמחל ,official ,1273
110626,51,תל אביב ,5000,תל אביב - יפו ,10792,רמחל ,synonym of 1273 ,1273
110627,51,תל אביב ,5000,תל אביב - יפו ,1274 ,החשמל ,official ,1274
110628,51,תל אביב ,5000,תל אביב - יפו ,1275 ,ברזילי ,official ,1275
110629,51,תל אביב ,5000,תל אביב - יפו ,1276 ,לבונטין ,official ,1276
110630,51,תל אביב ,5000,תל אביב - יפו ,1277 ,מקוה ישראל ,official ,1277
110631,51,תל אביב ,5000,תל אביב - יפו ,1278 ,סמ הגינה ,official ,1278
110632,51,תל אביב ,5000,תל אביב - יפו ,10793,הגינה סמ ,synonym of 1278 ,1278
110633,51,תל אביב ,5000,תל אביב - יפו ,10794,הגינה סמטה ,synonym of 1278 ,1278
110634,51,תל אביב ,5000,תל אביב - יפו ,1279 ,לשם ,official ,1279
110635,51,תל אביב ,5000,תל אביב - יפו ,1280 ,חבשוש חיים ,official ,1280
110636,51,תל אביב ,5000,תל אביב - יפו ,10795,חבשוש ,synonym of 1280 ,1280
110637,51,תל אביב ,5000,תל אביב - יפו ,10796,חיים חבשוש ,synonym of 1280 ,1280
110638,51,תל אביב ,5000,תל אביב - יפו ,10797,חיים ,synonym of 1280 ,1280
110639,51,תל אביב ,5000,תל אביב - יפו ,1300 ,ויקי שירן ,official ,1300
110640,51,תל אביב ,5000,תל אביב - יפו ,10798,רח 1333 ,synonym of 1300 ,1300
110641,51,תל אביב ,5000,תל אביב - יפו ,10799,שירן ויקי ,synonym of 1300 ,1300
110642,51,תל אביב ,5000,תל אביב - יפו ,10800,דר ויקי שירן ,synonym of 1300 ,1300
110643,51,תל אביב ,5000,תל אביב - יפו ,10801,שירן ויקי דר ,synonym of 1300 ,1300
110644,51,תל אביב ,5000,תל אביב - יפו ,1301 ,דרך יפו ,official ,1301
110645,51,תל אביב ,5000,תל אביב - יפו ,10802,דרך יפו תל אביב ,synonym of 1301 ,1301
110646,51,תל אביב ,5000,תל אביב - יפו ,10803,תל אביב דרך ,synonym of 1301 ,1301
110647,51,תל אביב ,5000,תל אביב - יפו ,10804,יפו ת א דרך ,synonym of 1301 ,1301
110648,51,תל אביב ,5000,תל אביב - יפו ,10805,יפו תא דרך ,synonym of 1301 ,1301
110649,51,תל אביב ,5000,תל אביב - יפו ,10806,יפו תל אביב ,synonym of 1301 ,1301
110650,51,תל אביב ,5000,תל אביב - יפו ,10807,דרך יפו תא ,synonym of 1301 ,1301
110651,51,תל אביב ,5000,תל אביב - יפו ,10808,יפו דרך ,synonym of 1301 ,1301
110652,51,תל אביב ,5000,תל אביב - יפו ,1302 ,דליה רביקוביץ' ,official ,1302
110653,51,תל אביב ,5000,תל אביב - יפו ,10809,רח 1334 ,synonym of 1302 ,1302
110654,51,תל אביב ,5000,תל אביב - יפו ,10810,דליה רביקוביץ ,synonym of 1302 ,1302
110655,51,תל אביב ,5000,תל אביב - יפו ,10811,רביקוביץ' דליה ,synonym of 1302 ,1302
110656,51,תל אביב ,5000,תל אביב - יפו ,1303 ,סמ בית הבד ,official ,1303
110657,51,תל אביב ,5000,תל אביב - יפו ,10812,בית הבד סמטה ,synonym of 1303 ,1303
110658,51,תל אביב ,5000,תל אביב - יפו ,10813,בית הבד ,synonym of 1303 ,1303
110659,51,תל אביב ,5000,תל אביב - יפו ,10814,בית הבד סמ ,synonym of 1303 ,1303
110660,51,תל אביב ,5000,תל אביב - יפו ,1304 ,רוקח שמעון ,official ,1304
110661,51,תל אביב ,5000,תל אביב - יפו ,10815,שמעון רוקח ,synonym of 1304 ,1304
110662,51,תל אביב ,5000,תל אביב - יפו ,10816,רוקח ,synonym of 1304 ,1304
110663,51,תל אביב ,5000,תל אביב - יפו ,1305 ,שטיין ,official ,1305
110664,51,תל אביב ,5000,תל אביב - יפו ,10817,שטין ,synonym of 1305 ,1305
110665,51,תל אביב ,5000,תל אביב - יפו ,1306 ,שרעבי ,official ,1306
110666,51,תל אביב ,5000,תל אביב - יפו ,1307 ,כפר סבא ,official ,1307
110667,51,תל אביב ,5000,תל אביב - יפו ,1308 ,בוסתנאי ,official ,1308
110668,51,תל אביב ,5000,תל אביב - יפו ,1309 ,לילינבלום ,official ,1309
110669,51,תל אביב ,5000,תל אביב - יפו ,10818,לילנבלום ,synonym of 1309 ,1309
110670,51,תל אביב ,5000,תל אביב - יפו ,1310 ,מולכו שלמה ,official ,1310
110671,51,תל אביב ,5000,תל אביב - יפו ,10819,שלמה מולכו ,synonym of 1310 ,1310
110672,51,תל אביב ,5000,תל אביב - יפו ,10820,מלכו שלמה ,synonym of 1310 ,1310
110673,51,תל אביב ,5000,תל אביב - יפו ,10821,מולכו ,synonym of 1310 ,1310
110674,51,תל אביב ,5000,תל אביב - יפו ,1311 ,רח 3952 ,official ,1311
110675,51,תל אביב ,5000,תל אביב - יפו ,1312 ,תחכמוני ,official ,1312
110676,51,תל אביב ,5000,תל אביב - יפו ,1313 ,סמ תחכמוני ,official ,1313
110677,51,תל אביב ,5000,תל אביב - יפו ,10822,תחכמוני סמטה ,synonym of 1313 ,1313
110678,51,תל אביב ,5000,תל אביב - יפו ,10823,תחכמוני סמ ,synonym of 1313 ,1313
110679,51,תל אביב ,5000,תל אביב - יפו ,1314 ,עין גנים ,official ,1314
110680,51,תל אביב ,5000,תל אביב - יפו ,1315 ,היכל התלמוד ,official ,1315
110681,51,תל אביב ,5000,תל אביב - יפו ,10824,היכל תלמוד ,synonym of 1315 ,1315
110682,51,תל אביב ,5000,תל אביב - יפו ,1316 ,סמ מולכו ,official ,1316
110683,51,תל אביב ,5000,תל אביב - יפו ,10825,מולכו סמ ,synonym of 1316 ,1316
110684,51,תל אביב ,5000,תל אביב - יפו ,10826,מולכו סמטה ,synonym of 1316 ,1316
110685,51,תל אביב ,5000,תל אביב - יפו ,1317 ,נוה צדק ,official ,1317
110686,51,תל אביב ,5000,תל אביב - יפו ,1318 ,סמ נוה צדק ,official ,1318
110687,51,תל אביב ,5000,תל אביב - יפו ,10827,נוה צדק סמ ,synonym of 1318 ,1318
110688,51,תל אביב ,5000,תל אביב - יפו ,10828,נוה צדק סמטה ,synonym of 1318 ,1318
110689,51,תל אביב ,5000,תל אביב - יפו ,1319 ,אלחנן יצחק ,official ,1319
110690,51,תל אביב ,5000,תל אביב - יפו ,10829,יצחק אלחנן ,synonym of 1319 ,1319
110691,51,תל אביב ,5000,תל אביב - יפו ,10830,יצחק ,synonym of 1319 ,1319
110692,51,תל אביב ,5000,תל אביב - יפו ,1320 ,עצמון ,official ,1320
110693,51,תל אביב ,5000,תל אביב - יפו ,10831,שד העצמאות ,synonym of 1320 ,1320
110694,51,תל אביב ,5000,תל אביב - יפו ,10832,העצמאות שדרות ,synonym of 1320 ,1320
110695,51,תל אביב ,5000,תל אביב - יפו ,10833,שדרות העצמאות ,synonym of 1320 ,1320
110696,51,תל אביב ,5000,תל אביב - יפו ,10834,העצמאות שד ,synonym of 1320 ,1320
110697,51,תל אביב ,5000,תל אביב - יפו ,10835,העצמאות ,synonym of 1320 ,1320
110698,51,תל אביב ,5000,תל אביב - יפו ,10836,העצמון ,synonym of 1320 ,1320
110699,51,תל אביב ,5000,תל אביב - יפו ,1321 ,לפין ,official ,1321
110700,51,תל אביב ,5000,תל אביב - יפו ,10837,לאפין ,synonym of 1321 ,1321
110701,51,תל אביב ,5000,תל אביב - יפו ,1322 ,יבנאל ,official ,1322
110702,51,תל אביב ,5000,תל אביב - יפו ,10838,יבניאלי ,synonym of 1322 ,1322
110703,51,תל אביב ,5000,תל אביב - יפו ,10839,יבניאל ,synonym of 1322 ,1322
110704,51,תל אביב ,5000,תל אביב - יפו ,1323 ,מחנה יוסף ,official ,1323
110705,51,תל אביב ,5000,תל אביב - יפו ,10840,מחנה ,synonym of 1323 ,1323
110706,51,תל אביב ,5000,תל אביב - יפו ,1324 ,דגניה ,official ,1324
110707,51,תל אביב ,5000,תל אביב - יפו ,1325 ,החרמון ,official ,1325
110708,51,תל אביב ,5000,תל אביב - יפו ,1326 ,התלמי יהושע ,official ,1326
110709,51,תל אביב ,5000,תל אביב - יפו ,10841,יהושע התלמי ,synonym of 1326 ,1326
110710,51,תל אביב ,5000,תל אביב - יפו ,10842,התלמי ,synonym of 1326 ,1326
110711,51,תל אביב ,5000,תל אביב - יפו ,1327 ,שבזי ,official ,1327
110712,51,תל אביב ,5000,תל אביב - יפו ,1328 ,יהודה החסיד ,official ,1328
110713,51,תל אביב ,5000,תל אביב - יפו ,1329 ,סמ שבזי ,official ,1329
110714,51,תל אביב ,5000,תל אביב - יפו ,10843,שבזי סמטה ,synonym of 1329 ,1329
110715,51,תל אביב ,5000,תל אביב - יפו ,10844,שבזי סמ ,synonym of 1329 ,1329
110716,51,תל אביב ,5000,תל אביב - יפו ,1330 ,כנרת ,official ,1330
110717,51,תל אביב ,5000,תל אביב - יפו ,1331 ,פינס ,official ,1331
110718,51,תל אביב ,5000,תל אביב - יפו ,10845,פינס המ 7005 ,synonym of 1331 ,1331
