83332,42,פתח תקווה ,98,כפר מלל ,101 ,מוסד יד אסא ,official ,101
85633,42,פתח תקווה ,1309,אלעד ,109 ,סעדיה גאון ,official ,109
85634,42,פתח תקווה ,1309,אלעד ,9534 ,סעדיה הגאון ,synonym of 109 ,109
85635,42,פתח תקווה ,1309,אלעד ,110 ,המאירי ,official ,110
85636,42,פתח תקווה ,1309,אלעד ,111 ,רבן יוחנן בן זכאי ,official ,111
85637,42,פתח תקווה ,1309,אלעד ,9535 ,בן זכאי ,synonym of 111 ,111
85638,42,פתח תקווה ,1309,אלעד ,9536 ,יוחנן בן זכאי ,synonym of 111 ,111
85639,42,פתח תקווה ,1309,אלעד ,9537 ,רבי יוחנן בן זכאי ,synonym of 111 ,111
85640,42,פתח תקווה ,1309,אלעד ,112 ,שמאי ,official ,112
85641,42,פתח תקווה ,1309,אלעד ,113 ,הלל ,official ,113
85642,42,פתח תקווה ,1309,אלעד ,114 ,רבי שמואל הנגיד ,official ,114
85643,42,פתח תקווה ,1309,אלעד ,9538 ,שמואל הנגיד ,synonym of 114 ,114
85644,42,פתח תקווה ,1309,אלעד ,115 ,רדק ,official ,115
85645,42,פתח תקווה ,1309,אלעד ,9539 ,הרדק ,synonym of 115 ,115
85646,42,פתח תקווה ,1309,אלעד ,9540 ,רדק ,synonym of 115 ,115
85647,42,פתח תקווה ,1309,אלעד ,9541 ,הרדק ,synonym of 115 ,115
85648,42,פתח תקווה ,1309,אלעד ,116 ,רבי עקיבא ,official ,116
85649,42,פתח תקווה ,1309,אלעד ,121 ,רשבם ,official ,121
85650,42,פתח תקווה ,1309,אלעד ,9542 ,רשבם ,synonym of 121 ,121
85651,42,פתח תקווה ,1309,אלעד ,9543 ,הרשבם ,synonym of 121 ,121
85652,42,פתח תקווה ,1309,אלעד ,9544 ,הרשבם ,synonym of 121 ,121
85653,42,פתח תקווה ,1309,אלעד ,122 ,ריטבא ,official ,122
85654,42,פתח תקווה ,1309,אלעד ,9545 ,הריטבא ,synonym of 122 ,122
85655,42,פתח תקווה ,1309,אלעד ,9546 ,הריטבא ,synonym of 122 ,122
85656,42,פתח תקווה ,1309,אלעד ,9547 ,ריטבא ,synonym of 122 ,122
85657,42,פתח תקווה ,1309,אלעד ,123 ,אבטליון ,official ,123
85658,42,פתח תקווה ,1309,אלעד ,124 ,רבי טרפון ,official ,124
85659,42,פתח תקווה ,1309,אלעד ,125 ,שמעיה ,official ,125
85660,42,פתח תקווה ,1309,אלעד ,126 ,הזמיר ,official ,126
85661,42,פתח תקווה ,1309,אלעד ,9548 ,רחבת הזמיר ,synonym of 126 ,126
85662,42,פתח תקווה ,1309,אלעד ,127 ,התור ,official ,127
85663,42,פתח תקווה ,1309,אלעד ,9549 ,רחבת התור ,synonym of 127 ,127
85664,42,פתח תקווה ,1309,אלעד ,201 ,רבי מאיר ,official ,201
85665,42,פתח תקווה ,1309,אלעד ,202 ,רבי פנחס בן יאיר ,official ,202
85666,42,פתח תקווה ,1309,אלעד ,9550 ,פנחס בן יאיר ,synonym of 202 ,202
85667,42,פתח תקווה ,1309,אלעד ,9551 ,בן יאיר ,synonym of 202 ,202
85668,42,פתח תקווה ,1309,אלעד ,203 ,רבי יונתן בן עוזיאל ,official ,203
85669,42,פתח תקווה ,1309,אלעד ,9552 ,יונתן בן עוזיאל ,synonym of 203 ,203
85670,42,פתח תקווה ,1309,אלעד ,9553 ,בן עוזיאל ,synonym of 203 ,203
85671,42,פתח תקווה ,1309,אלעד ,204 ,רבי יוסי בן קיסמא ,official ,204
85672,42,פתח תקווה ,1309,אלעד ,9554 ,בן קיסמא ,synonym of 204 ,204
85673,42,פתח תקווה ,1309,אלעד ,9555 ,יוסי בן קיסמא ,synonym of 204 ,204
85674,42,פתח תקווה ,1309,אלעד ,205 ,שמעון הצדיק ,official ,205
85675,42,פתח תקווה ,1309,אלעד ,9556 ,רבי שמעון הצדיק ,synonym of 205 ,205
85676,42,פתח תקווה ,1309,אלעד ,206 ,רשבי ,official ,206
85677,42,פתח תקווה ,1309,אלעד ,9557 ,רשבי ,synonym of 206 ,206
85678,42,פתח תקווה ,1309,אלעד ,9558 ,רבי שמעון בר יוחאי ,synonym of 206 ,206
85679,42,פתח תקווה ,1309,אלעד ,9559 ,בר יוחאי ,synonym of 206 ,206
85680,42,פתח תקווה ,1309,אלעד ,207 ,רמבן ,official ,207
85681,42,פתח תקווה ,1309,אלעד ,9560 ,רמבן ,synonym of 207 ,207
85682,42,פתח תקווה ,1309,אלעד ,208 ,רשי ,official ,208
85683,42,פתח תקווה ,1309,אלעד ,9561 ,רשי ,synonym of 208 ,208
85684,42,פתח תקווה ,1309,אלעד ,209 ,רמבם ,official ,209
85685,42,פתח תקווה ,1309,אלעד ,9562 ,רמבם ,synonym of 209 ,209
85686,42,פתח תקווה ,1309,אלעד ,210 ,בעלי התוספות ,official ,210
85687,42,פתח תקווה ,1309,אלעד ,211 ,אבן עזרא ,official ,211
85688,42,פתח תקווה ,1309,אלעד ,212 ,רבינו חננאל ,official ,212
85689,42,פתח תקווה ,1309,אלעד ,9563 ,רבנו חננאל ,synonym of 212 ,212
85690,42,פתח תקווה ,1309,אלעד ,213 ,רבי יהודה הלוי ,official ,213
85691,42,פתח תקווה ,1309,אלעד ,9564 ,יהודה הלוי ,synonym of 213 ,213
85692,42,פתח תקווה ,1309,אלעד ,214 ,רבינו גרשום ,official ,214
85693,42,פתח תקווה ,1309,אלעד ,9565 ,רבנו גרשום ,synonym of 214 ,214
85694,42,פתח תקווה ,1309,אלעד ,215 ,רבינו בחיי ,official ,215
85695,42,פתח תקווה ,1309,אלעד ,9566 ,רבנו בחיי ,synonym of 215 ,215
85696,42,פתח תקווה ,1309,אלעד ,216 ,שמעון בן שטח ,official ,216
85697,42,פתח תקווה ,1309,אלעד ,9567 ,בן שטח ,synonym of 216 ,216
85698,42,פתח תקווה ,1309,אלעד ,217 ,עובדיה מברטנורה ,official ,217
85699,42,פתח תקווה ,1309,אלעד ,9568 ,עובדיה מברטנורא ,synonym of 217 ,217
85700,42,פתח תקווה ,1309,אלעד ,218 ,הריף ,official ,218
85701,42,פתח תקווה ,1309,אלעד ,9569 ,הריף ,synonym of 218 ,218
85702,42,פתח תקווה ,1309,אלעד ,219 ,ראבד ,official ,219
85703,42,פתח תקווה ,1309,אלעד ,9570 ,הראבד ,synonym of 219 ,219
85704,42,פתח תקווה ,1309,אלעד ,9571 ,ראבד ,synonym of 219 ,219
85705,42,פתח תקווה ,1309,אלעד ,9572 ,הראבד ,synonym of 219 ,219
85706,42,פתח תקווה ,1309,אלעד ,220 ,אבן גבירול ,official ,220
85707,42,פתח תקווה ,1309,אלעד ,221 ,רבי יהושע ,official ,221
85708,42,פתח תקווה ,1309,אלעד ,9573 ,רבי יהושוע ,synonym of 221 ,221
85709,42,פתח תקווה ,1309,אלעד ,222 ,רבן גמליאל ,official ,222
85710,42,פתח תקווה ,1309,אלעד ,223 ,הבח ,official ,223
85711,42,פתח תקווה ,1309,אלעד ,9574 ,הבח ,synonym of 223 ,223
85712,42,פתח תקווה ,1309,אלעד ,224 ,המהרשל ,official ,224
85713,42,פתח תקווה ,1309,אלעד ,9575 ,מהרשל ,synonym of 224 ,224
85714,42,פתח תקווה ,1309,אלעד ,9576 ,המהרשל ,synonym of 224 ,224
85715,42,פתח תקווה ,1309,אלעד ,225 ,הרן ,official ,225
85716,42,פתח תקווה ,1309,אלעד ,9577 ,הרן ,synonym of 225 ,225
85717,42,פתח תקווה ,1309,אלעד ,226 ,רמה ,official ,226
85718,42,פתח תקווה ,1309,אלעד ,9578 ,הרמה ,synonym of 226 ,226
85719,42,פתח תקווה ,1309,אלעד ,9579 ,רמה ,synonym of 226 ,226
85720,42,פתח תקווה ,1309,אלעד ,6500 ,שכ מרומי אלעד ,official ,6500
85721,42,פתח תקווה ,1309,אלעד ,9580 ,מרומי אלעד ,synonym of 6500 ,6500
85722,42,פתח תקווה ,1309,אלעד ,9581 ,ש מרומי אלעד ,synonym of 6500 ,6500
85723,42,פתח תקווה ,1309,אלעד ,6501 ,רובע E ,official ,6501
85724,42,פתח תקווה ,1309,אלעד ,6502 ,רובע H ,official ,6502
85725,42,פתח תקווה ,1309,אלעד ,6503 ,רובע F ,official ,6503
85726,42,פתח תקווה ,1309,אלעד ,6504 ,רובע G ,official ,6504
85727,42,פתח תקווה ,1309,אלעד ,6505 ,רובע B ,official ,6505
85728,42,פתח תקווה ,1309,אלעד ,6506 ,רובע D ,official ,6506
85729,42,פתח תקווה ,1309,אלעד ,6508 ,רובע C ,official ,6508
85730,42,פתח תקווה ,1309,אלעד ,6509 ,רובע A ,official ,6509
85731,42,פתח תקווה ,1309,אלעד ,9000 ,אלעד ,official ,9000
85732,42,פתח תקווה ,1309,אלעד ,9582 ,אל עד ,synonym of 9000 ,9000
85733,42,פתח תקווה ,1309,אלעד ,9583 ,אל-עד ,synonym of 9000 ,9000
85734,42,פתח תקווה ,1315,מתן ,101 ,אורן ,official ,101
85735,42,פתח תקווה ,1315,מתן ,102 ,התאנה ,official ,102
85736,42,פתח תקווה ,1315,מתן ,103 ,הגפן ,official ,103
85737,42,פתח תקווה ,1315,מתן ,9521 ,גפן ,synonym of 103 ,103
85738,42,פתח תקווה ,1315,מתן ,104 ,הזית ,official ,104
85739,42,פתח תקווה ,1315,מתן ,105 ,הדר ,official ,105
85740,42,פתח תקווה ,1315,מתן ,106 ,חלמיש ,official ,106
85741,42,פתח תקווה ,1315,מתן ,107 ,הדס ,official ,107
85742,42,פתח תקווה ,1315,מתן ,108 ,מור ,official ,108
85743,42,פתח תקווה ,1315,מתן ,109 ,חבצלת ,official ,109
85744,42,פתח תקווה ,1315,מתן ,110 ,חצב ,official ,110
85745,42,פתח תקווה ,1315,מתן ,111 ,שושן ,official ,111
85746,42,פתח תקווה ,1315,מתן ,112 ,כלנית ,official ,112
85747,42,פתח תקווה ,1315,מתן ,113 ,איריס ,official ,113
85748,42,פתח תקווה ,1315,מתן ,114 ,צבעוני ,official ,114
85749,42,פתח תקווה ,1315,מתן ,9522 ,הצבעוני ,synonym of 114 ,114
85750,42,פתח תקווה ,1315,מתן ,115 ,נורית ,official ,115
85751,42,פתח תקווה ,1315,מתן ,116 ,רקפת ,official ,116
85752,42,פתח תקווה ,1315,מתן ,117 ,נוף השרון ,official ,117
85753,42,פתח תקווה ,1315,מתן ,118 ,אלון ,official ,118
85754,42,פתח תקווה ,1315,מתן ,119 ,ורד ,official ,119
85755,42,פתח תקווה ,1315,מתן ,120 ,צור ,official ,120
85756,42,פתח תקווה ,1315,מתן ,121 ,נרקיס ,official ,121
85757,42,פתח תקווה ,1315,מתן ,9523 ,הנרקיס ,synonym of 121 ,121
85758,42,פתח תקווה ,1315,מתן ,122 ,סביון ,official ,122
85759,42,פתח תקווה ,1315,מתן ,9524 ,הסביון ,synonym of 122 ,122
85760,42,פתח תקווה ,1315,מתן ,123 ,רימון ,official ,123
85761,42,פתח תקווה ,1315,מתן ,9525 ,הרימון ,synonym of 123 ,123
85762,42,פתח תקווה ,1315,מתן ,124 ,רותם ,official ,124
85763,42,פתח תקווה ,1315,מתן ,9526 ,הרותם ,synonym of 124 ,124
85764,42,פתח תקווה ,1315,מתן ,125 ,דרך הנוער ,official ,125
85765,42,פתח תקווה ,1315,מתן ,9527 ,דרך נוער ,synonym of 125 ,125
85766,42,פתח תקווה ,1315,מתן ,9528 ,הנוער ,synonym of 125 ,125
85767,42,פתח תקווה ,1315,מתן ,9000 ,מתן ,official ,9000
85768,42,פתח תקווה ,1345,צור יצחק ,101 ,נחל אלכסנדר ,official ,101
85769,42,פתח תקווה ,1345,צור יצחק ,102 ,נחל פולג ,official ,102
85770,42,פתח תקווה ,1345,צור יצחק ,103 ,נחל קנה ,official ,103
85771,42,פתח תקווה ,1345,צור יצחק ,104 ,נחל שילה ,official ,104
85772,42,פתח תקווה ,1345,צור יצחק ,105 ,נחל איילון ,official ,105
85773,42,פתח תקווה ,1345,צור יצחק ,9521 ,נחל אילון ,synonym of 105 ,105
85774,42,פתח תקווה ,1345,צור יצחק ,106 ,נחל הדס ,official ,106
85775,42,פתח תקווה ,1345,צור יצחק ,107 ,נחל פארן ,official ,107
85776,42,פתח תקווה ,1345,צור יצחק ,9522 ,פארן ,synonym of 107 ,107
85777,42,פתח תקווה ,1345,צור יצחק ,108 ,נחל ערוגות ,official ,108
85778,42,פתח תקווה ,1345,צור יצחק ,109 ,נחל דוד ,official ,109
85779,42,פתח תקווה ,1345,צור יצחק ,110 ,נחל צלמון ,official ,110
85780,42,פתח תקווה ,1345,צור יצחק ,111 ,נחל ברק ,official ,111
85781,42,פתח תקווה ,1345,צור יצחק ,9000 ,צור יצחק ,official ,9000
85782,42,פתח תקווה ,2015,שדי חמד ,101 ,תמר ,official ,101
85783,42,פתח תקווה ,2015,שדי חמד ,102 ,החרצית ,official ,102
85784,42,פתח תקווה ,2015,שדי חמד ,103 ,רימון ,official ,103
85785,42,פתח תקווה ,2015,שדי חמד ,104 ,תאנה ,official ,104
85786,42,פתח תקווה ,2015,שדי חמד ,105 ,גפן ,official ,105
85787,42,פתח תקווה ,2015,שדי חמד ,106 ,שבעת המינים ,official ,106
85788,42,פתח תקווה ,2015,שדי חמד ,107 ,אלון ,official ,107
85789,42,פתח תקווה ,2015,שדי חמד ,108 ,שעורה ,official ,108
85790,42,פתח תקווה ,2015,שדי חמד ,109 ,חיטה ,official ,109
85791,42,פתח תקווה ,2015,שדי חמד ,9521 ,החיטה ,synonym of 109 ,109
85792,42,פתח תקווה ,2015,שדי חמד ,110 ,ברוש ,official ,110
85793,42,פתח תקווה ,2015,שדי חמד ,111 ,שיקמה ,official ,111
85794,42,פתח תקווה ,2015,שדי חמד ,9522 ,שקמה ,synonym of 111 ,111
85795,42,פתח תקווה ,2015,שדי חמד ,9523 ,השקמה ,synonym of 111 ,111
85796,42,פתח תקווה ,2015,שדי חמד ,112 ,סמטת שיטה ,official ,112
85797,42,פתח תקווה ,2015,שדי חמד ,9524 ,שיטה ,synonym of 112 ,112
85798,42,פתח תקווה ,2015,שדי חמד ,9525 ,סמ השיטה ,synonym of 112 ,112
85799,42,פתח תקווה ,2015,שדי חמד ,9526 ,השיטה ,synonym of 112 ,112
85800,42,פתח תקווה ,2015,שדי חמד ,113 ,ארז ,official ,113
85801,42,פתח תקווה ,2015,שדי חמד ,9527 ,הארז ,synonym of 113 ,113
85802,42,פתח תקווה ,2015,שדי חמד ,114 ,אורן ,official ,114
85803,42,פתח תקווה ,2015,שדי חמד ,9528 ,האורן ,synonym of 114 ,114
85804,42,פתח תקווה ,2015,שדי חמד ,115 ,הדס ,official ,115
85805,42,פתח תקווה ,2015,שדי חמד ,9529 ,ההדס ,synonym of 115 ,115
85806,42,פתח תקווה ,2015,שדי חמד ,116 ,זית ,official ,116
85807,42,פתח תקווה ,2015,שדי חמד ,9530 ,הזית ,synonym of 116 ,116
85808,42,פתח תקווה ,2015,שדי חמד ,117 ,שדרת הדקלים ,official ,117
85809,42,פתח תקווה ,2015,שדי חמד ,9531 ,הדקלים ,synonym of 117 ,117
85810,42,פתח תקווה ,2015,שדי חמד ,9000 ,שדי חמד ,official ,9000
85811,42,פתח תקווה ,2015,שדי חמד ,9532 ,שדה חמד ,synonym of 9000 ,9000
85812,42,פתח תקווה ,2035,עדנים ,101 ,הרקון ,official ,101
85813,42,פתח תקווה ,2035,עדנים ,102 ,הלבונה ,official ,102
85814,42,פתח תקווה ,2035,עדנים ,9521 ,לבונה ,synonym of 102 ,102
85815,42,פתח תקווה ,2035,עדנים ,103 ,ההדר ,official ,103
85816,42,פתח תקווה ,2035,עדנים ,104 ,הריחן ,official ,104
85817,42,פתח תקווה ,2035,עדנים ,9522 ,ריחן ,synonym of 104 ,104
85818,42,פתח תקווה ,2035,עדנים ,105 ,ההדס ,official ,105
85819,42,פתח תקווה ,2035,עדנים ,9523 ,הדס ,synonym of 105 ,105
85820,42,פתח תקווה ,2035,עדנים ,106 ,סמ האפרסמון ,official ,106
85821,42,פתח תקווה ,2035,עדנים ,9524 ,האפרסמון ,synonym of 106 ,106
85822,42,פתח תקווה ,2035,עדנים ,107 ,סמ הרוזמרין ,official ,107
85823,42,פתח תקווה ,2035,עדנים ,9525 ,הרוזמרין ,synonym of 107 ,107
85824,42,פתח תקווה ,2035,עדנים ,108 ,המור ,official ,108
85825,42,פתח תקווה ,2035,עדנים ,9526 ,סמ המור ,synonym of 108 ,108
85826,42,פתח תקווה ,2035,עדנים ,109 ,היסמין ,official ,109
85827,42,פתח תקווה ,2035,עדנים ,110 ,המרווה ,official ,110
85828,42,פתח תקווה ,2035,עדנים ,9527 ,מרווה ,synonym of 110 ,110
85829,42,פתח תקווה ,2035,עדנים ,111 ,דרך הכפר ,official ,111
85830,42,פתח תקווה ,2035,עדנים ,112 ,הבאר ,official ,112
85831,42,פתח תקווה ,2035,עדנים ,113 ,דרך האיכרים ,official ,113
85832,42,פתח תקווה ,2035,עדנים ,9528 ,האיכרים ,synonym of 113 ,113
85833,42,פתח תקווה ,2035,עדנים ,114 ,סמ מגדל המים ,official ,114
85834,42,פתח תקווה ,2035,עדנים ,9529 ,סמטת מגדל המים ,synonym of 114 ,114
85835,42,פתח תקווה ,2035,עדנים ,115 ,השדות ,official ,115
85836,42,פתח תקווה ,2035,עדנים ,6000 ,כיכר המייסדים ,official ,6000
85837,42,פתח תקווה ,2035,עדנים ,9530 ,ככר המייסדים ,synonym of 6000 ,6000
85838,42,פתח תקווה ,2035,עדנים ,6001 ,כיכר המחלבה ,official ,6001
85839,42,פתח תקווה ,2035,עדנים ,9531 ,ככר המחלבה ,synonym of 6001 ,6001
85840,42,פתח תקווה ,2035,עדנים ,9000 ,עדנים ,official ,9000
85841,42,פתח תקווה ,2038,ברקת ,101 ,הפרחים ,official ,101
85842,42,פתח תקווה ,2038,ברקת ,102 ,הזית ,official ,102
85843,42,פתח תקווה ,2038,ברקת ,103 ,התאנה ,official ,103
85844,42,פתח תקווה ,2038,ברקת ,104 ,הכלנית ,official ,104
85845,42,פתח תקווה ,2038,ברקת ,105 ,אודם ,official ,105
85846,42,פתח תקווה ,2038,ברקת ,106 ,היהלום ,official ,106
85847,42,פתח תקווה ,2038,ברקת ,107 ,הגפן ,official ,107
85848,42,פתח תקווה ,2038,ברקת ,108 ,הספיר ,official ,108
85849,42,פתח תקווה ,2038,ברקת ,9521 ,ספיר ,synonym of 108 ,108
85850,42,פתח תקווה ,2038,ברקת ,109 ,הלבונה ,official ,109
85851,42,פתח תקווה ,2038,ברקת ,110 ,הרב שלום יצחק ,official ,110
85852,42,פתח תקווה ,2038,ברקת ,9522 ,שלום יצחק ,synonym of 110 ,110
85853,42,פתח תקווה ,2038,ברקת ,111 ,חנה ,official ,111
85854,42,פתח תקווה ,2038,ברקת ,112 ,אור המזרח ,official ,112
85855,42,פתח תקווה ,2038,ברקת ,113 ,הפיקוס ,official ,113
85856,42,פתח תקווה ,2038,ברקת ,114 ,הדקל ,official ,114
85857,42,פתח תקווה ,2038,ברקת ,9523 ,דקל ,synonym of 114 ,114
85858,42,פתח תקווה ,2038,ברקת ,115 ,החושן ,official ,115
85859,42,פתח תקווה ,2038,ברקת ,9524 ,חושן ,synonym of 115 ,115
85860,42,פתח תקווה ,2038,ברקת ,116 ,סמטת הברוש ,official ,116
85861,42,פתח תקווה ,2038,ברקת ,9525 ,הברוש ,synonym of 116 ,116
85862,42,פתח תקווה ,2038,ברקת ,9526 ,סמ הברוש ,synonym of 116 ,116
85863,42,פתח תקווה ,2038,ברקת ,9527 ,סמטת ברוש ,synonym of 116 ,116
85864,42,פתח תקווה ,2038,ברקת ,117 ,סמטת ההדסים ,official ,117
85865,42,פתח תקווה ,2038,ברקת ,9528 ,ההדסים ,synonym of 117 ,117
85866,42,פתח תקווה ,2038,ברקת ,9529 ,סמטת הדסים ,synonym of 117 ,117
85867,42,פתח תקווה ,2038,ברקת ,9530 ,סמ ההדסים ,synonym of 117 ,117
85868,42,פתח תקווה ,2038,ברקת ,118 ,סמטת הרימון ,official ,118
85869,42,פתח תקווה ,2038,ברקת ,9531 ,סמ הרימון ,synonym of 118 ,118
85870,42,פתח תקווה ,2038,ברקת ,9532 ,הרימון ,synonym of 118 ,118
85871,42,פתח תקווה ,2038,ברקת ,9533 ,סמטת רימון ,synonym of 118 ,118
85872,42,פתח תקווה ,2038,ברקת ,119 ,סמטת התמר ,official ,119
85873,42,פתח תקווה ,2038,ברקת ,9534 ,התמר ,synonym of 119 ,119
85874,42,פתח תקווה ,2038,ברקת ,9535 ,סמ התמר ,synonym of 119 ,119
85875,42,פתח תקווה ,2038,ברקת ,9536 ,סמטת תמר ,synonym of 119 ,119
85876,42,פתח תקווה ,2038,ברקת ,120 ,סמטת האורן ,official ,120
85877,42,פתח תקווה ,2038,ברקת ,9537 ,האורן ,synonym of 120 ,120
85878,42,פתח תקווה ,2038,ברקת ,9538 ,סמ האורן ,synonym of 120 ,120
85879,42,פתח תקווה ,2038,ברקת ,9539 ,סמטת אורן ,synonym of 120 ,120
85880,42,פתח תקווה ,2038,ברקת ,9000 ,ברקת ,official ,9000
85881,42,פתח תקווה ,2038,ברקת ,9540 ,ש חדש ,synonym of 9000 ,9000
85882,42,פתח תקווה ,2640,ראש העין ,103 ,גרונר דב ,official ,103
85883,42,פתח תקווה ,2640,ראש העין ,9521 ,גרונר ,synonym of 103 ,103
85884,42,פתח תקווה ,2640,ראש העין ,9522 ,דב גרונר ,synonym of 103 ,103
85885,42,פתח תקווה ,2640,ראש העין ,105 ,הרעות ,official ,105
85886,42,פתח תקווה ,2640,ראש העין ,9523 ,רעות ,synonym of 105 ,105
85887,42,פתח תקווה ,2640,ראש העין ,106 ,הרשש ,official ,106
85888,42,פתח תקווה ,2640,ראש העין ,9524 ,הרשש ,synonym of 106 ,106
85889,42,פתח תקווה ,2640,ראש העין ,107 ,אבן עזרא ,official ,107
85890,42,פתח תקווה ,2640,ראש העין ,108 ,גרמה מיכאל ,official ,108
85891,42,פתח תקווה ,2640,ראש העין ,9525 ,מיכאל גרמה ,synonym of 108 ,108
85892,42,פתח תקווה ,2640,ראש העין ,9526 ,גרמה ,synonym of 108 ,108
85893,42,פתח תקווה ,2640,ראש העין ,109 ,הרב כלף ,official ,109
85894,42,פתח תקווה ,2640,ראש העין ,9527 ,כלף ,synonym of 109 ,109
85895,42,פתח תקווה ,2640,ראש העין ,9528 ,חלף ,synonym of 109 ,109
85896,42,פתח תקווה ,2640,ראש העין ,110 ,הרב משה פנחס ,official ,110
85897,42,פתח תקווה ,2640,ראש העין ,9529 ,משה פנחס ,synonym of 110 ,110
85898,42,פתח תקווה ,2640,ראש העין ,9530 ,פנחס משה ,synonym of 110 ,110
85899,42,פתח תקווה ,2640,ראש העין ,9531 ,הרב פנחס משה ,synonym of 110 ,110
85900,42,פתח תקווה ,2640,ראש העין ,111 ,בן נון יהושע ,official ,111
85901,42,פתח תקווה ,2640,ראש העין ,9532 ,יהושע בן נון ,synonym of 111 ,111
85902,42,פתח תקווה ,2640,ראש העין ,9533 ,בן נון ,synonym of 111 ,111
85903,42,פתח תקווה ,2640,ראש העין ,114 ,צהל ,official ,114
85904,42,פתח תקווה ,2640,ראש העין ,9534 ,צהל ,synonym of 114 ,114
85905,42,פתח תקווה ,2640,ראש העין ,115 ,נתן שאול ,official ,115
85906,42,פתח תקווה ,2640,ראש העין ,9535 ,שאול נתן ,synonym of 115 ,115
85907,42,פתח תקווה ,2640,ראש העין ,9536 ,נתן ,synonym of 115 ,115
85908,42,פתח תקווה ,2640,ראש העין ,116 ,משעול יחיאל שמעון ,official ,116
85909,42,פתח תקווה ,2640,ראש העין ,9537 ,יחיאל שמעון ,synonym of 116 ,116
85910,42,פתח תקווה ,2640,ראש העין ,9538 ,שמעון יחיאל ,synonym of 116 ,116
85911,42,פתח תקווה ,2640,ראש העין ,9539 ,מש יחיאל שמעון ,synonym of 116 ,116
85912,42,פתח תקווה ,2640,ראש העין ,117 ,משעול ציונה אושרי ,official ,117
85913,42,פתח תקווה ,2640,ראש העין ,9540 ,ציונה אושרי ,synonym of 117 ,117
85914,42,פתח תקווה ,2640,ראש העין ,9541 ,מש ציונה אושרי ,synonym of 117 ,117
85915,42,פתח תקווה ,2640,ראש העין ,9542 ,אושרי ציונה ,synonym of 117 ,117
85916,42,פתח תקווה ,2640,ראש העין ,118 ,משעול זכריה בשארי ,official ,118
85917,42,פתח תקווה ,2640,ראש העין ,9543 ,זכריה בשארי ,synonym of 118 ,118
85918,42,פתח תקווה ,2640,ראש העין ,9544 ,מש זכריה בשארי ,synonym of 118 ,118
85919,42,פתח תקווה ,2640,ראש העין ,9545 ,בשארי זכריה ,synonym of 118 ,118
85920,42,פתח תקווה ,2640,ראש העין ,9546 ,משעול בשארי זכריה ,synonym of 118 ,118
85921,42,פתח תקווה ,2640,ראש העין ,119 ,הנביאים ,official ,119
85922,42,פתח תקווה ,2640,ראש העין ,120 ,דוד המלך ,official ,120
85923,42,פתח תקווה ,2640,ראש העין ,9547 ,המלך דוד ,synonym of 120 ,120
85924,42,פתח תקווה ,2640,ראש העין ,121 ,ג'ון קנדי ,official ,121
85925,42,פתח תקווה ,2640,ראש העין ,9548 ,ש קנדי ,synonym of 121 ,121
85926,42,פתח תקווה ,2640,ראש העין ,9549 ,קנדי ,synonym of 121 ,121
85927,42,פתח תקווה ,2640,ראש העין ,9550 ,גון קנדי ,synonym of 121 ,121
85928,42,פתח תקווה ,2640,ראש העין ,122 ,הסנהדרין ,official ,122
85929,42,פתח תקווה ,2640,ראש העין ,9551 ,סנהדרין ,synonym of 122 ,122
85930,42,פתח תקווה ,2640,ראש העין ,123 ,רשי ,official ,123
85931,42,פתח תקווה ,2640,ראש העין ,9552 ,רשי ,synonym of 123 ,123
85932,42,פתח תקווה ,2640,ראש העין ,124 ,שילה ,official ,124
85933,42,פתח תקווה ,2640,ראש העין ,125 ,יהודה הלוי ,official ,125
85934,42,פתח תקווה ,2640,ראש העין ,126 ,חזון איש ,official ,126
85935,42,פתח תקווה ,2640,ראש העין ,127 ,מהריקא ,official ,127
85936,42,פתח תקווה ,2640,ראש העין ,9553 ,מהריקא ,synonym of 127 ,127
85937,42,פתח תקווה ,2640,ראש העין ,128 ,שלום זכריה ,official ,128
85938,42,פתח תקווה ,2640,ראש העין ,9554 ,שרעבי הרב ,synonym of 128 ,128
85939,42,פתח תקווה ,2640,ראש העין ,9555 ,שלמה זכריה ,synonym of 128 ,128
85940,42,פתח תקווה ,2640,ראש העין ,9556 ,הרב שרעבי ,synonym of 128 ,128
85941,42,פתח תקווה ,2640,ראש העין ,129 ,הרב שלום מנצורה ,official ,129
85942,42,פתח תקווה ,2640,ראש העין ,9557 ,מנצורה נסים ,synonym of 129 ,129
85943,42,פתח תקווה ,2640,ראש העין ,9558 ,נסים מנצורה ,synonym of 129 ,129
85944,42,פתח תקווה ,2640,ראש העין ,9559 ,שזר ,synonym of 129 ,129
85945,42,פתח תקווה ,2640,ראש העין ,9560 ,שזר ,synonym of 129 ,129
85946,42,פתח תקווה ,2640,ראש העין ,9561 ,שזר זלמן ,synonym of 129 ,129
85947,42,פתח תקווה ,2640,ראש העין ,9562 ,מנצורה ,synonym of 129 ,129
85948,42,פתח תקווה ,2640,ראש העין ,9563 ,זלמן שזר ,synonym of 129 ,129
85949,42,פתח תקווה ,2640,ראש העין ,9564 ,שלום מנצורה ,synonym of 129 ,129
85950,42,פתח תקווה ,2640,ראש העין ,9565 ,שזר זלמן ,synonym of 129 ,129
85951,42,פתח תקווה ,2640,ראש העין ,130 ,סעדיה גאון ,official ,130
